;t100;indep;t900;a201
129;2021-04;0;687598.643;Krusten/Sch-Weichtie
130;2021-04;0;38057.617;Milchprodukte
131;2021-04;0;1415.2;Non Food
132;2021-04;0;80.7;Nordsee
133;2021-04;0;4478.8;Oel/Essig/Senf
134;2021-04;0;4375.534;Pasteten/Terrinen
135;2021-04;0;49820.86;Pilze
136;2021-04;0;864;Post/cargo
137;2021-04;0;0;Sponsoring
138;2021-04;0;38617.11;Teigw./Spätzli/Gnoc.
139;2021-04;1;15228.6;Bofrost
140;2021-04;1;213199.725;Convenience
141;2021-04;1;940.646;Federwild
142;2021-04;1;2222761.614;Fisch
143;2021-04;1;850493.977;Fleisch
144;2021-04;1;6372.2;Früchte
145;2021-04;1;1004518.602;Geflügel
146;2021-04;1;18887.35;Gemüse
147;2021-04;1;56336.858;Haarwild
148;2021-04;1;4758.85;Kolonialwaren
149;2021-04;1;3256.9;Konserven divers
150;2021-04;1;738178.257;Krusten/Sch-Weichtie
151;2021-04;1;45118.607;Milchprodukte
152;2021-04;1;560;Non Food
153;2021-04;1;18455.861;Nordsee
154;2021-04;1;5478.475;Oel/Essig/Senf
155;2021-04;1;8387.48;Pasteten/Terrinen
156;2021-04;1;36211.32;Pilze
157;2021-04;1;63.6;Post/cargo
158;2021-04;1;54084.07;Teigw./Spätzli/Gnoc.
159;2021-05;0;127006.824;Convenience
160;2021-05;0;3593.582;Federwild
161;2021-05;0;1962393.514;Fisch
162;2021-05;0;1152540.471;Fleisch
163;2021-05;0;5471.2;Früchte
164;2021-05;0;897426.676;Geflügel
165;2021-05;0;16282.1;Gemüse
166;2021-05;0;0;Gesperrte Artikel
167;2021-05;0;81875.552;Haarwild
168;2021-05;0;2340.85;Kolonialwaren
169;2021-05;0;3141.15;Konserven divers
170;2021-05;0;764811.734;Krusten/Sch-Weichtie
171;2021-05;0;43909.56;Milchprodukte
172;2021-05;0;320.1;Non Food
173;2021-05;0;26.9;Nordsee
174;2021-05;0;4323.9;Oel/Essig/Senf
175;2021-05;0;5170.055;Pasteten/Terrinen
176;2021-05;0;48671.02;Pilze
177;2021-05;0;882;Post/cargo
178;2021-05;0;34647.95;Teigw./Spätzli/Gnoc.
179;2021-05;1;32216;Bofrost
180;2021-05;1;204767.001;Convenience
181;2021-05;1;1723.207;Federwild
182;2021-05;1;2198613.22;Fisch
183;2021-05;1;905944.171;Fleisch
184;2021-05;1;6328;Früchte
185;2021-05;1;1012127.762;Geflügel
186;2021-05;1;22448.4;Gemüse
187;2021-05;1;0;Gesperrte Artikel
188;2021-05;1;60787.156;Haarwild
189;2021-05;1;4606.45;Kolonialwaren
190;2021-05;1;4045.4;Konserven divers
191;2021-05;1;755931.875;Krusten/Sch-Weichtie
192;2021-05;1;48220.805;Milchprodukte
193;2021-05;1;82;Non Food
194;2021-05;1;24891.751;Nordsee
195;2021-05;1;5864.1;Oel/Essig/Senf
196;2021-05;1;9293.646;Pasteten/Terrinen
197;2021-05;1;31770.27;Pilze
198;2021-05;1;52.4;Post/cargo
199;2021-05;1;39102.26;Teigw./Spätzli/Gnoc.
200;2021-06;0;174247.584;Convenience
201;2021-06;0;3498.353;Federwild
202;2021-06;0;3010897.916;Fisch
203;2021-06;0;1592201.105;Fleisch
204;2021-06;0;9871.3;Früchte
205;2021-06;0;1174740.54;Geflügel
206;2021-06;0;17658.9;Gemüse
207;2021-06;0;89540.2;Haarwild
208;2021-06;0;3599.4;Kolonialwaren
209;2021-06;0;4766.9;Konserven divers
210;2021-06;0;1199727.465;Krusten/Sch-Weichtie
211;2021-06;0;73245.094;Milchprodukte
212;2021-06;0;469.8;Non Food
213;2021-06;0;396.645;Nordsee
214;2021-06;0;9158.75;Oel/Essig/Senf
215;2021-06;0;6644.061;Pasteten/Terrinen
216;2021-06;0;59052.974;Pilze
217;2021-06;0;2153.6;Post/cargo
218;2021-06;0;46169.05;Teigw./Spätzli/Gnoc.
219;2021-06;1;19821;Bofrost
220;2021-06;1;301088.284;Convenience
221;2021-06;1;1083.566;Federwild
222;2021-06;1;2891926.668;Fisch
223;2021-06;1;1233393.783;Fleisch
224;2021-06;1;9590.35;Früchte
225;2021-06;1;1227960.765;Geflügel
226;2021-06;1;24778.7;Gemüse
227;2021-06;1;51408.432;Haarwild
228;2021-06;1;6313.05;Kolonialwaren
229;2021-06;1;5876.815;Konserven divers
230;2021-06;1;1024788.032;Krusten/Sch-Weichtie
231;2021-06;1;74283.736;Milchprodukte
232;2021-06;1;2267.5;Non Food
233;2021-06;1;25242.089;Nordsee
234;2021-06;1;9279.8;Oel/Essig/Senf
235;2021-06;1;10915.422;Pasteten/Terrinen
236;2021-06;1;45641.9;Pilze
237;2021-06;1;332.4;Post/cargo
238;2021-06;1;0;Sponsoring
239;2021-06;1;47071.57;Teigw./Spätzli/Gnoc.
240;2021-07;0;171410.689;Convenience
241;2021-07;0;6915.545;Federwild
242;2021-07;0;3280261.605;Fisch
243;2021-07;0;1807187.222;Fleisch
244;2021-07;0;8914.5;Früchte
245;2021-07;0;1214044.216;Geflügel
246;2021-07;0;22605.75;Gemüse
247;2021-07;0;97198.366;Haarwild
248;2021-07;0;4139.4;Kolonialwaren
249;2021-07;0;5454.65;Konserven divers
250;2021-07;0;1374524.796;Krusten/Sch-Weichtie
251;2021-07;0;75522.806;Milchprodukte
252;2021-07;0;726;Non Food
253;2021-07;0;2011.514;Nordsee
254;2021-07;0;7280.85;Oel/Essig/Senf
255;2021-07;0;8429.12;Pasteten/Terrinen
256;2021-07;0;62316.51;Pilze
257;2021-07;0;682.4;Post/cargo
258;2021-07;0;45631.01;Teigw./Spätzli/Gnoc.
259;2021-07;1;48536;Bofrost
260;2021-07;1;258239.033;Convenience
261;2021-07;1;1047.257;Federwild
262;2021-07;1;3101858.335;Fisch
263;2021-07;1;1368463.794;Fleisch
264;2021-07;1;7462.1;Früchte
265;2021-07;1;1282186.852;Geflügel
266;2021-07;1;27875.85;Gemüse
267;2021-07;1;51084.269;Haarwild
268;2021-07;1;6233.15;Kolonialwaren
269;2021-07;1;5634.3;Konserven divers
270;2021-07;1;1172259.336;Krusten/Sch-Weichtie
271;2021-07;1;84265.078;Milchprodukte
272;2021-07;1;1195;Non Food
273;2021-07;1;27132.047;Nordsee
274;2021-07;1;10620.7;Oel/Essig/Senf
275;2021-07;1;15184.323;Pasteten/Terrinen
276;2021-07;1;52066.99;Pilze
277;2021-07;1;249;Post/cargo
